Date,Time,Open,High,Low,Close,Volume
2014.04.29,00:00,1.68062,1.68469,1.67927,1.68269,42187
2014.04.30,00:00,1.68272,1.69007,1.68071,1.68716,47269
2014.05.01,00:00,1.68711,1.69177,1.68697,1.68917,39039
2014.05.02,00:00,1.68907,1.68950,1.68223,1.68728,43138
2014.05.05,00:00,1.68764,1.68843,1.68533,1.68667,30269
2014.05.06,00:00,1.68660,1.69962,1.68659,1.69743,47489
2014.05.07,00:00,1.69742,1.69860,1.69512,1.69515,42044
2014.05.08,00:00,1.69516,1.69742,1.69235,1.69331,49946
2014.05.09,00:00,1.69320,1.69379,1.68319,1.68531,51361
2014.05.12,00:00,1.68397,1.69028,1.68388,1.68673,37036
2014.05.13,00:00,1.68676,1.68832,1.68186,1.68247,54673
2014.05.14,00:00,1.68247,1.68740,1.67532,1.67667,56405
2014.05.15,00:00,1.67670,1.68058,1.67311,1.67893,57172
2014.05.16,00:00,1.67885,1.68405,1.67832,1.68107,42513
2014.05.19,00:00,1.68132,1.68447,1.68050,1.68132,48531
2014.05.20,00:00,1.68123,1.68645,1.68020,1.68381,46464
2014.05.21,00:00,1.68373,1.69211,1.68315,1.68988,58328
2014.05.22,00:00,1.68984,1.69173,1.68514,1.68704,50058
2014.05.23,00:00,1.68681,1.68752,1.68127,1.68317,44260
2014.05.26,00:00,1.68320,1.68529,1.68198,1.68412,32158
2014.05.27,00:00,1.68406,1.68818,1.67827,1.68096,61916
2014.05.28,00:00,1.68091,1.68157,1.66975,1.67100,67362
2014.05.29,00:00,1.67072,1.67404,1.66927,1.67166,61555
2014.05.30,00:00,1.67153,1.67773,1.67142,1.67542,60832
2014.06.02,00:00,1.67631,1.67675,1.67248,1.67448,59539
2014.06.03,00:00,1.67458,1.67821,1.67306,1.67487,58839
2014.06.04,00:00,1.67482,1.67682,1.66986,1.67375,58248
2014.06.05,00:00,1.67362,1.68249,1.67225,1.68194,82807
2014.06.06,00:00,1.68170,1.68452,1.67808,1.68051,64822
2014.06.09,00:00,1.68005,1.68324,1.67840,1.68030,51347
2014.06.10,00:00,1.67999,1.68173,1.67429,1.67561,62162
2014.06.11,00:00,1.67541,1.68110,1.67378,1.67874,83751
2014.06.12,00:00,1.67863,1.69310,1.67855,1.69277,75527
2014.06.13,00:00,1.69250,1.69918,1.69219,1.69622,81585
